1200g 300nm P			1200g 300nm S			600g 500nm P			600g 500nm S			600g 750nm P			600g 750nm S	
220.2	0.5608856		219.01	0.3763838		250.8	0.0405904		250.8	0.0295203		398.04	0.13577		398.04	0.07572
239.21	0.7047971		240.4	0.4095941		266.27	0.0885609		268.47	0.0516605		410.59	0.17755		416.86	0.10966
259.41	0.7712177		259.41	0.5424354		281.73	0.1476015		288.35	0.1070111		423.14	0.22454		432.55	0.15144
279.6	0.7749078		279.6	0.5387454		292.77	0.202952		306.02	0.1734317		435.69	0.27154		451.37	0.19321
300.99	0.7453874		299.8	0.6531365		301.61	0.2583026		321.49	0.2435424		445.1	0.30809		467.06	0.23238
318.81	0.7121771		320.0	0.7380074		310.44	0.3136531		336.95	0.302583		454.51	0.35248		482.75	0.27154
339.01	0.6568266		340.2	0.7749078		323.69	0.3653136		352.41	0.3653136		460.78	0.39426		495.29	0.30287
359.21	0.597786		359.21	0.7453874		334.74	0.4354243		365.66	0.4354243		470.2	0.43081		514.12	0.3342
379.41	0.5535055		379.41	0.7453874		345.78	0.4870849		381.12	0.501845		479.61	0.4752		532.94	0.37076
399.6	0.494465		399.6	0.7749078		359.04	0.5424354		405.42	0.5461255		489.02	0.51436		548.63	0.40992
419.8	0.4649446		419.8	0.7564576		367.87	0.594096		418.67	0.597786		504.71	0.55875		561.18	0.46214
440.0	0.4206642		440.0	0.7195572		383.33	0.6346864		436.35	0.6605166		517.25	0.59269		567.45	0.50392
460.2	0.3874539		460.2	0.6789668		398.8	0.6752767		458.43	0.7047971		529.8	0.62924		576.86	0.55091
480.4	0.3468635		479.21	0.6309963		416.47	0.7084871		484.94	0.7269373		548.63	0.67363		586.27	0.5953
500.59	0.3173432		500.59	0.5830258		440.76	0.7269373		509.24	0.7380074		573.73	0.70496		598.82	0.6423
519.6	0.2878229		519.6	0.5387454		469.48	0.7269373		537.95	0.7527676		598.82	0.72324		639.61	0.65535
539.8	0.2583026		539.8	0.4907749		493.78	0.7121771		573.29	0.7343173		630.2	0.7389		661.57	0.68668
560.0	0.2324723		560.0	0.5867159		520.28	0.6900369		602.01	0.7158672		670.98	0.7389		674.12	0.72585
580.2	0.2140221		579.01	0.4132841		537.95	0.6678967		619.68	0.701107		705.49	0.7154		686.67	0.76762
600.4	0.202952		600.4	0.5239853		555.62	0.6383764		639.56	0.6826569		730.59	0.69713		705.49	0.79373
619.41	0.1881919		619.41	0.6863469		575.5	0.6162362		659.44	0.6605166		758.82	0.67102		740.0	0.80157
639.6	0.1771218		639.6	0.7195572		597.59	0.5904059		666.06	0.6752767		787.06	0.64491		783.92	0.82507
659.8	0.1623616		659.8	0.6531365		617.47	0.5608856		679.32	0.6309963		809.02	0.62402		818.43	0.83551
678.81	0.1549815		678.81	0.5867159		635.14	0.5350554		690.36	0.5830258		834.12	0.59791		849.8	0.81201
699.01	0.1439114		699.01	0.5129151		650.6	0.5092251		712.45	0.5830258		862.35	0.56919		890.59	0.78068
719.21	0.1328413		719.21	0.4649446		670.48	0.4870849		741.16	0.5830258		887.45	0.54308		915.69	0.7624
739.41	0.1217712		739.41	0.4206642		685.94	0.4612546		772.09	0.5571956		918.82	0.50653		950.2	0.74151
759.6	0.1143911		759.6	0.3874539		705.82	0.4428044		791.97	0.5313653		943.92	0.47781		975.29	0.73107
779.8	0.1070111		779.8	0.3616236		721.29	0.4169742		807.43	0.5276753		969.02	0.45431		986.86	0.72135
						745.58	0.3837638		816.27	0.5092251		994.12	0.428200		1000.39	0.72063
						772.09	0.3616236		847.19	0.4797048		1021.53	0.388070		1024.53	0.73443
						798.59	0.3394834		873.69	0.4686347		1078.57	0.351700		1049.72	0.73447
						822.89	0.3173432		911.24	0.4538745		1129.31	0.315330		1075.24	0.70066
						853.82	0.2915129		951.0	0.4317343		1186.27	0.286770		1094.44	0.66944
						878.11	0.2804428		995.18	0.402214		1236.96	0.255610		1119.88	0.64344
						909.04	0.2693727		1041.57	0.3726937		1306.47	0.232280		1138.98	0.62264
						931.12	0.2546125		1072.49	0.3505535		1363.39	0.208940		1163.95	0.64611
						962.05	0.2398524		1096.79	0.3357933		1432.88	0.188220		1163.33	0.71122
						990.76	0.2287823		1110.04	0.3837638					1162.79	0.76851
						1026.1	0.2103321		1123.29	0.2841328					1181.26	0.81281
						1050.4	0.195572		1136.55	0.2509225					1200.16	0.81284
						1079.12	0.1808118		1152.01	0.295203					1219.43	0.77381
						1114.46	0.1623616		1176.31	0.4723247					1238.97	0.70613
						1147.59	0.1549815		1189.56	0.5793358					1258.44	0.64627
						1178.51	0.1439114		1207.23	0.6605166					1284.33	0.57339
						1209.44	0.1402214		1220.48	0.6789668					1322.67	0.51616
						1238.15	0.1365314		1240.36	0.6383764					1373.58	0.46156
						1253.61	0.1328413		1253.61	0.6051661					1436.9	0.42781
															1493.84	0.40186
